title;artist;album;platform;isFound
Amnesia;"Britney Spears";Circus;applemusicapp;0
"Amnesia (Clubstar Remix) [feat. Timbaland, Brasco]";"Ian Carey";"The Workout Mix - Summer Fit CD2";applemusicapp;0
Anaconda;"Nicki Minaj";"Anaconda - Single";applemusicapp;1
Anaconda;"Nicki Minaj";"The Pinkprint (Bonus Tracks)";applemusicapp;1
"Anatomy of a Song - Part 3";"Marc Myers/Jonathan Yen";"Anatomy of a Song - The Oral History of 45 Iconic Hits That Changed Rock, R&B and Pop";applemusicapp;0
Anchor;Tritonal;;applemusicapp;1
"And We Danced";Macklemore;;applemusicapp;1
"Andy, You're A Star";"The Killers";"Hot Fuss";applemusicapp;1
Angel;"Florida Georgia Line";"Anything Goes";applemusicapp;1
"Angel Appearing in a Small Cafe";"Chris Trapper";"Symphonies of Dirt & Dust";applemusicapp;1
"Angel of Music";"Sarah Brightman & Janet Devenish";"The Phantom of the Opera (Original London Cast)";applemusicapp;0
Angels;"Jessica Simpson";"In this skin";applemusicapp;1
"Angels We Have Heard On High (Glee Cast Version)";"Glee Cast";"Glee: The Music - The Christmas Album";applemusicapp;1
Angie;"Cobra Starship";"¡Viva La Cobra!";applemusicapp;1
"Angles With Dirty Faces";"Sum 41";Chuck;applemusicapp;0
Animal;"Neon Trees";;applemusicapp;1
Animal;Ke$ha;Animal;applemusicapp;1
"Animal Bar";"Red Hot Chili Peppers";"Stadium Arcadium";applemusicapp;1
Animals;"Maroon 5";"V (Deluxe Version)";applemusicapp;1
Animals;"Martin Garrix";"Animals - Single";applemusicapp;1
"Animals (Original Mix)";"Martin Garrix";Animals;applemusicapp;1
"Another Day of Sun";"La La Land Cast";"La La Land (Original Motion Picture Soundtrack)";applemusicapp;1
"Another Girl Another Planet";"Blink 182";"Greatest Hits";applemusicapp;1
"Another Girl Another Planet";Blink-182;;applemusicapp;1
"Another Heart Calls";"The All-American Rejects";"When The World Comes Down";applemusicapp;1
"Another Night";"Mac Miller";"Best Day Ever";applemusicapp;1
"Another Race";"Eiffel 65";;applemusicapp;0
"Another Sun";Malakai;"Another Sun - Single";applemusicapp;0
"Another Time Around";"Sum 41";"Half Hour Of Power";applemusicapp;1
"Ante Up";Mop;;applemusicapp;1
"The Anthem";"Pitbull Ft Lil John";;applemusicapp;0
Anthem;"Blink 182";"Enema of the State";applemusicapp;1
"The Anthem";"Good Charlotte";"The Young And The Hopeless";applemusicapp;1
"Anthem Part Two";"Blink 182";"Take Off Your Pants And Jacket";applemusicapp;1
"Anthem Part Two";Blink-182;;applemusicapp;1
"Anthem Part Two (Live in Chicago - Bonus Track)";"Blink 182";Blink-182;applemusicapp;1
Antidote;"Travis Scott";"Rodeo (Expanded Edition)";applemusicapp;1
Antiheroes;"Michael Mind Project";;applemusicapp;1
Antonia;"Motion City Soundtrack";"Even If It Kills Me";applemusicapp;1
"Any Man of Mine";"Shania Twain";"Greatest Hits";applemusicapp;1
"Any Way You Want It";Journey;"Greatest Hits";applemusicapp;1
"Anybody's Anthem";"Machine Gun Kelly";Homecoming;applemusicapp;0
"Anyone Else";"Blake Shelton";"BRINGING BACK THE SUNSHINE (Deluxe Edition)";applemusicapp;1
"Anything But Me";"Lindsay Lohan";Speak;applemusicapp;1
"Anything But Ordinary";"Avril Lavigne";"Let Go";applemusicapp;1
"Anything Could Happen";"Ellie Goulding";"Halcyon Days (Deluxe Edition)";applemusicapp;1
"Anything Goes";"Florida Georgia Line";"Anything Goes";applemusicapp;1
"Anything Goes";"Sutton Foster & Anything Goes New Broadway Company Orchestra";"Anything Goes (New Broadway Cast Recording)";applemusicapp;0
"Anything Is Possible (Motivational Speech)";"Fearless Motivation";"Born Ready (Motivational Speeches Gym & Workout)";applemusicapp;1
Anytime;"Kelly Clarkson";Thankful;applemusicapp;1
"Anywhere With You";"Jake Owen";"Billboard Top 25 Country Songs 06-22-13";applemusicapp;1
Apoligize;OneRepublic;"Dreaming Out Loud";applemusicapp;1
"Apoligize (Remix)";OneRepublic;"Dreaming Out Loud";applemusicapp;1
Apollo;Hardwell;;applemusicapp;1
Apologize;"One Republic";"Shock Value";applemusicapp;1
Applause;"Lady Gaga";ARTPOP;applemusicapp;1
"Apple Shampoo";"Blink 182";"Dude Ranch";applemusicapp;1
Ardisia;"Paul Dluxx";"Ardisia - Single";applemusicapp;1
"Are We The Waiting";"Green Day";"American Idiot";applemusicapp;1
"Are you Gonna Be My Girl";Jet;"Get Born";applemusicapp;1
"Are You Gonna Be My Girl (Acoustic Version)";Jet;"Get Born";applemusicapp;1
Arlandria;"Foo Fighters";"Wasting Light";applemusicapp;1
"Art Exhibit";"Young the Giant";"Home of the Strange";applemusicapp;1
"The Art Of Losing";"American Hi-Fi";"The Art Of Losing";applemusicapp;1
"As I Am";"Miley Cyrus";"Hannah Montana 2: Meet Miley Cyrus [Disc 2]";applemusicapp;1
"As Long As You're Mine";"Idina Menzel & Leo Norbert Butz";"Wicked: Original Broadway Cast";applemusicapp;1
"As She's Walking Away (feat. Alan Jackson)";"Zac Brown Band";"Greatest Hits So Far...";applemusicapp;1
"As the Romans Do";"Theo Katzman";"Heartbreak Hits";applemusicapp;1
"As Your Friend [feat. Chris Brown]";Afrojack;"The Workout Mix - Summer Fit CD2";applemusicapp;1
"Ashin‚ Kusher";"Kid Cudi";"Man on the Moon, Vol. 2: The Legend of Mr. Rager";applemusicapp;1
Ashley;"Escape the Fate";"This War Is Ours";applemusicapp;1
"Ass Back Home";"Gym Class Heroes";;applemusicapp;1
"Assassin's Tango";"John Powell";"Mr. & Mrs. Smith (Original Motion Picture Soundtrack)";applemusicapp;0
"Asshole (feat. Skylar Grey)";Eminem;"Marshall Mathers LP 2";applemusicapp;1
Asthenia;"Blink 182";"Blink 182";applemusicapp;1
Astronomia;"Vicetone & Tony Igy";"Astronomia - Single";applemusicapp;1
"At Least I'm Known For Something";"New Found Glory";;applemusicapp;1
"At Least We Made It This Far";"Relient K";"The Bird & The Bee Sides";applemusicapp;1
"At My Best (feat. Hailee Steinfeld)";"Machine Gun Kelly";bloom;applemusicapp;1
"Atomic Dog";"George Clinton Feat Coolio";"Legally Blonde 2";applemusicapp;0
Attack;"30 Seconds To Mars";"A Beautiful Lie";applemusicapp;1
Attention;"Charlie Puth";Voicenotes;applemusicapp;1
"Attractive Today";"Motion City Soundtrack";"Commit This To Memory";applemusicapp;1
"Audience Of One";"Rise Against";"Appeal To Reason";applemusicapp;1
"Audio Blood";"The Matches";;applemusicapp;1
"Audition (The Fools Who Dream)";"Emma Stone";"La La Land (Original Motion Picture Soundtrack)";applemusicapp;1
"August Is Over";"We the Kings";"We the Kings";applemusicapp;1
Autobiography;"Ashlee Simpson";Autobiography;applemusicapp;1
Automatic;"Miranda Lambert";Automatic;applemusicapp;1
"Automatic Eyes";"The Academy Is...";"Fast Times at Barrington High";applemusicapp;1
Autopilot;"Modern Maps";"Hope You're Happy.";applemusicapp;1
"Ave Mary A";Pink;Funhouse;applemusicapp;1
"Aw Naw";"Chris Young";"New Country May 2013";applemusicapp;1
Ayo;"Chris Brown & Tyga";"Ayo - Single";applemusicapp;1
"Ayy Ladies";"Travis Porter Ft Tyga";;applemusicapp;1
"Ayy Ladies (feat. Tyga)";"Travis Porter";"Ayy Ladies (feat. Tyga) - Single";applemusicapp;1
B.I.T.C.H.;"Megan Thee Stallion";"B.I.T.C.H. - Single";applemusicapp;1
"Baba O'Riley";"The Who";"Who's Next (Deluxe Edition)";applemusicapp;1
Baby;Eminem;"Marshall Mathers LP 2";applemusicapp;1
"Baby Baby (feat. Tori Kelly)";"Amy Grant";"Baby Baby (feat. Tori Kelly) - Single";applemusicapp;1
"Baby Boy";"Beyoncé Feat. Sean Paul";"Dangerously In Love";applemusicapp;0
"Baby Boy (feat. Sean Paul)";Beyoncé;"Dangerously in Love";applemusicapp;1
"Baby Come Home (Album Version)";"American Hi-Fi";"Hearts On Parade";applemusicapp;1
"Baby I'm Back";"Baby Bash";"Super Saucy";applemusicapp;1
"Baby It's Fact";HelloGoodbye;;applemusicapp;1
"Baby It's You";JoJo;JoJo;applemusicapp;1
"Baby, It's Cold Outside (Glee Cast Version)";"Glee Cast";"Glee: The Music - The Christmas Album";applemusicapp;1
"Back & Forth";"Foo Fighters";"Wasting Light";applemusicapp;1
"Back 2 Good";"Matchbox Twenty";"Exile On Mainstream [Disc 2]";applemusicapp;1
"Back Again";"Mike Stud feat Huey Mack  Rich Young";;applemusicapp;0
"Back Again (feat. Waka Flocka Flame)";"Flosstradamus & Mayhem";"Back Again (feat. Waka Flocka Flame) - Single";applemusicapp;1
"Back From Cali (Feat. Myles Kennedy)";Slash;Slash;applemusicapp;1
"Back Home";Yellowcard;"Ocean Avenue";applemusicapp;1
"Back Home";"Andy Grammer";"Magazines or Novels";applemusicapp;1
"Back In The Day";"Christina Aguilera";"Back To Basics [Disc 1]";applemusicapp;1
"Back In Time";Pitbull;"Global Warming";applemusicapp;0
"Back to December";"Taylor Swift";"Speak Now (Deluxe Edition)";applemusicapp;1
"Back To December (Acoustic Version)";"Taylor Swift";"Speak Now (Deluxe Version)";applemusicapp;1
"Back To December (US Version)";"Taylor Swift";"Speak Now (Deluxe Version)";applemusicapp;1
"Back To Me";"The All-American Rejects";"When The World Comes Down";applemusicapp;1
"Back to You";"John Mayer";"Room for Squares";applemusicapp;1
"Back to You (feat. Bebe Rexha & Digital Farm Animals)";"Louis Tomlinson";"Back to You (feat. Bebe Rexha & Digital Farm Animals) - Single";applemusicapp;1
"Back Up";"Danity Kane";"Danity Kane";applemusicapp;1
"Backroad Song";"Granger Smith";"Backroad Song - Single";applemusicapp;1
Backseat;"New Boyz";;applemusicapp;1
Backstabber;Ke$ha;Animal;applemusicapp;1
Backwards;"Rascal Flatts";"Me And My Gang";applemusicapp;1
"Bad (feat. Tiara Thomas)";Wale;"The Gifted";applemusicapp;1
"Bad and Boujee (feat. Lil Uzi Vert)";Migos;Culture;applemusicapp;1
"Bad at Love";Halsey;"hopeless fountain kingdom (Deluxe)";applemusicapp;1
"Bad Blood";"Taylor Swift";"1989 (By Alexis Castro DJ)";applemusicapp;1
"Bad Blood (feat. Kendrick Lamar)";"Taylor Swift";"Bad Blood (feat. Kendrick Lamar) - Single";applemusicapp;1
"Bad Boy For Life";"P. Diddy";;applemusicapp;1
"Bad Day";"Daniel Powter";"Daniel Powter";applemusicapp;1
"Bad Girlfriend";"Theory Of A Dead Man";"Scars and Souvenirs";applemusicapp;1
"bad guy";"Billie Eilish";"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?";applemusicapp;1
"Bad Guy";"Chris Webby";"There Goes The Neighborhood EP";applemusicapp;1
"Bad Guy";Eminem;"Marshall Mathers LP 2";applemusicapp;1
"Bad Habit";"Destiny's Child";"Destiny Fulfilled";applemusicapp;1
"Bad Influence";Pink;Funhouse;applemusicapp;1
"Bad Liar";"Selena Gomez";"Bad Liar - Single";applemusicapp;1
"Bad Moon Rising";"Creedence Clearwater Revival";;applemusicapp;1
"Bad Moon Rising";"Creedence Clearwater Revival";;applemusicapp;1
"Bad Romance";"Lady GaGa";"The Fame Monster";applemusicapp;1
"Bad Things";"Machine Gun Kelly & Camila Cabello";bloom;applemusicapp;0
"Badman (Bare Remix)";"Autoerotique & Max Styler";"Badman (Remixes) - EP";applemusicapp;0
"Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise""";"Alfred Brendel";"Beethoven: Für Elise";applemusicapp;0
Bailando;"Enrique Iglesias";"Unknown Album";applemusicapp;0
"The Ballad Of Big Poppa And Diamond Girl";"Cobra Starship";"While The City Sleeps. We Rule The Streets";applemusicapp;1
"The Ballad Of Olaf & Sven (Score Demo / Teaser Trailer)";"Christophe Beck";"Frozen (Deluxe Edition) (CD2)";applemusicapp;0
"Ballin Out";"2 Chainz & T.I.";"Street Exec Countdown 23";applemusicapp;1
"Bam (feat. Damian ""Jr. Gong"" Marley)";JAY-Z;4:44;applemusicapp;1
"Banana Pancakes";"Jack Johnson";"In Between Dreams";applemusicapp;1
"Band On The Run";Wings;;applemusicapp;1
"Bandz a Make Her Dance (feat. 2 Chainz & Lil Wayne)";"Juicy J";"Stay Trippy";applemusicapp;1
"Bang Bang";"Jessie J, Ariana Grande & Nicki Minaj";"Bang Bang - Single";applemusicapp;1
"Bang Boom";"Tommie Sunshine & Krunk!";"Bang Boom - Single";applemusicapp;1
"Bang It To the Curb";"Far East Movement & Sidney Samson";"KTown Riot - EP";applemusicapp;1
"Bang The Doldrums";"Fall Out Boy";"Infinity On High";applemusicapp;1
"Bangarang (feat. Sirah)";Skrillex;Bangarang;applemusicapp;1
Banjo;"Rascal Flatts";Changed;applemusicapp;1
Banjo;"Rascal Flatts";"Changed (Deluxe Edition)";applemusicapp;1
"Banner (Acoustic)";Lights;"Siberia (Acoustic)";applemusicapp;1
Banquet;"Bloc Party";"Silent Alarm";applemusicapp;1
"The Barber of Seville: Act 1 - Cavatina: Largo al factotum della città (Figaro)";"Failoni Chamber Orchestra, Hungarian Radio Chorus, Roberto Servile & Will Humburg";"Rossini: The Barber of Seville (Highlights)";applemusicapp;0
"Barefoot Blue Jean Night";"Jake Owen";"Barefoot Blue Jean Night";applemusicapp;1
Bartender;"Lady Antebellum";"Bartender - Single";applemusicapp;1
"Basket Case";"Green Day";"100 Greatest Rock Songs Of The 90s";applemusicapp;1
"Basket Case";"Green Day";"American Idiot (Deluxe Version)";applemusicapp;1
"Bass Down Low (feat. The Cataracs)";Dev;"Bass Down Low - Single";applemusicapp;1
"Bassline Junkie (Radio Edit)";"Dizzee Rascal";"The Workout Mix - Summer Fit CD1";applemusicapp;1
Bastards;Kesha;Rainbow;applemusicapp;1
"Bathroom Floor";"Maddie & Tae";"Bathroom Floor - Single";applemusicapp;1
"Battle Cry";"Imagine Dragons";"Smoke + Mirrors (Deluxe)";applemusicapp;1
"Battle Flag";"Lo Fidelity Allstars";"100 Greatest Rock Songs Of The 90s";applemusicapp;0
"Battle Of One";"30 Seconds To Mars";"A Beautiful Lie";applemusicapp;1
"Battle Scars (feat. Lupe Fiasco)";"Guy Sebastian";"Battle Scars (feat. Lupe Fiasco) - Single";applemusicapp;1
Battlefield;"Jordin Sparks";;applemusicapp;1
BBC;"JAY Z";"Magna Carta... Holy Grail";applemusicapp;1
"BDE Bonus";"Mac Miller";;applemusicapp;1
"Be Alright";"Dean Lewis";"Be Alright - Single";applemusicapp;1
"Be As You Are";"Mike Posner";"At Night, Alone.";applemusicapp;1
"Be Easy";"Radical Something Ft Kinetics";;applemusicapp;1
"Be Like the Blue Bird";"Joel Grey";"Anything Goes (New Broadway Cast Recording)";applemusicapp;1
"Be My Escape";"Relient K";Mmhmm;applemusicapp;1
"Be My Escape";"Relient K";;applemusicapp;1
"Be On You";"Flo Rida";;applemusicapp;1
"Be Ready for Your Moment (Motivational Speech)";"Fearless Motivation";"Uncommon Being (Motivational Speeches)";applemusicapp;1
"Be Somebody feat. ProbCause";DK;"Shy State of Mind";applemusicapp;0
"Be Together (feat. Wild Belle)";"Major Lazer";"Peace Is The Mission";applemusicapp;1
"Be With You";Beyoncé;"Dangerously In Love";applemusicapp;1
"Be Without You";"Mary J. Blige";"The Breakthrough";applemusicapp;1
